Date,Location,Event_Category,Casualty_Count,Age,Gender,Reaction_Text,Label_Status,Severity_Score
2024-09-03,Bengaluru,Building Fire,28,26,Male,I feel completely drained after hearing this news. Nothing feels normal anymore.,Depressed,3
2024-06-05,Delhi,Road Accident,27,32,Male,I feel numb reading about this. Everything feels pointless.,Depressed,3
2024-06-29,Assam,Air Pollution,35,18,Male,I’m feeling uneasy and nervous since this incident.,Anxious,2
2024-07-06,Kolkata,Building Fire,97,39,Male,This was unexpected. Hope authorities handle it well.,Neutral,0
2024-06-13,Hyderabad,Cyclone,77,34,Male,I feel numb reading about this. Everything feels pointless.,Depressed,3
2024-09-27,Kerala,Road Accident,70,36,Female,This is unfortunate news. Hope things improve soon.,Neutral,0
2024-06-06,Himachal Pradesh,Building Fire,98,36,Male,This news is making me very anxious. I keep worrying about my family.,Anxious,2
2024-07-19,Bengaluru,Disease Outbreak,81,41,Male,This news is making me very anxious. I keep worrying about my family.,Anxious,2
2024-06-27,Himachal Pradesh,Heatwave,89,22,Male,My stress levels are very high after reading about this.,Stressed,1
2024-07-30,Kerala,Heatwave,118,53,Male,I can’t relax after hearing this. My mind is constantly racing.,Anxious,2
2024-06-30,Delhi,Cyclone,51,35,Male,So much stress after hearing this. Too many things going wrong.,Stressed,1
2024-06-28,Himachal Pradesh,Disease Outbreak,50,47,Male,This situation scares me a lot. I don’t feel safe anymore.,Anxious,2
2024-07-02,Punjab,Industrial Accident,68,34,Female,This is overwhelming. I don’t know how people are coping.,Stressed,1
2024-06-29,Kolkata,Industrial Accident,63,23,Male,This was unexpected. Hope authorities handle it well.,Neutral,0
2024-08-20,Kolkata,Landslide,76,22,Female,This incident just made my heart sink. I can’t stop overthinking.,Depressed,3
2024-08-07,Bengaluru,Industrial Accident,110,18,Male,Hearing about this incident today. Very unfortunate.,Neutral,0
2024-06-15,Bengaluru,Landslide,20,47,Male,My stress levels are very high after reading about this.,Stressed,1
2024-08-04,Mumbai,Heatwave,107,50,Male,This is overwhelming. I don’t know how people are coping.,Stressed,1
2024-09-06,Kolkata,Industrial Accident,99,51,Male,This situation scares me a lot. I don’t feel safe anymore.,Anxious,2
2024-06-03,Mumbai,Cyclone,112,37,Male,This adds so much pressure to daily life.,Stressed,1
2024-09-21,Uttarakhand,Road Accident,10,49,Male,This incident just made my heart sink. I can’t stop overthinking.,Depressed,3
2024-08-24,Assam,Industrial Accident,21,34,Female,I can’t relax after hearing this. My mind is constantly racing.,Anxious,2
2024-08-31,Bengaluru,Landslide,85,41,Female,I can’t relax after hearing this. My mind is constantly racing.,Anxious,2
2024-07-02,Chennai,Road Accident,43,19,Male,This is unfortunate news. Hope things improve soon.,Neutral,0
2024-06-10,Punjab,Flood,29,22,Male,This news is making me very anxious. I keep worrying about my family.,Anxious,2
2024-08-05,Chennai,Heatwave,85,49,Male,So much stress after hearing this. Too many things going wrong.,Stressed,1
2024-07-02,Assam,Landslide,24,24,Male,I’m feeling uneasy and nervous since this incident.,Anxious,2
2024-07-25,Kerala,Disease Outbreak,110,21,Male,This was unexpected. Hope authorities handle it well.,Neutral,0
2024-09-02,Hyderabad,Road Accident,31,30,Male,I feel numb reading about this. Everything feels pointless.,Depressed,3
2024-07-25,Kolkata,Heatwave,59,33,Male,"Sad incident, praying for everyone affected.",Neutral,0
2024-06-07,Himachal Pradesh,Industrial Accident,107,18,Male,This is unfortunate news. Hope things improve soon.,Neutral,0
2024-07-23,Assam,Disease Outbreak,27,43,Male,I can’t relax after hearing this. My mind is constantly racing.,Anxious,2
2024-06-01,Kerala,Heatwave,118,47,Female,I’m feeling uneasy and nervous since this incident.,Anxious,2
2024-06-20,Chennai,Heatwave,27,21,Male,Hearing about this incident today. Very unfortunate.,Neutral,0
2024-06-07,Uttarakhand,Disease Outbreak,64,51,Male,So much stress after hearing this. Too many things going wrong.,Stressed,1
2024-09-17,Kolkata,Road Accident,76,22,Male,I feel completely drained after hearing this news. Nothing feels normal anymore.,Depressed,3
2024-09-29,Uttarakhand,Building Fire,74,20,Male,This is unfortunate news. Hope things improve soon.,Neutral,0
2024-09-28,Bengaluru,Building Fire,85,38,Male,This was unexpected. Hope authorities handle it well.,Neutral,0
2024-06-17,Himachal Pradesh,Heatwave,58,38,Male,This adds so much pressure to daily life.,Stressed,1
2024-08-19,Uttarakhand,Road Accident,9,52,Male,I feel numb reading about this. Everything feels pointless.,Depressed,3
2024-09-28,Hyderabad,Road Accident,112,33,Female,This is overwhelming. I don’t know how people are coping.,Stressed,1
2024-07-27,Odisha,Heatwave,78,51,Male,This is overwhelming. I don’t know how people are coping.,Stressed,1
2024-09-29,Kolkata,Heatwave,14,24,Male,So much stress after hearing this. Too many things going wrong.,Stressed,1
2024-08-17,Chennai,Cyclone,26,34,Female,My stress levels are very high after reading about this.,Stressed,1
2024-06-12,Himachal Pradesh,Landslide,106,35,Male,So much stress after hearing this. Too many things going wrong.,Stressed,1
2024-09-07,Kolkata,Heatwave,20,46,Female,Life feels very heavy after this happened. I don’t feel motivated at all.,Depressed,3
2024-06-10,Punjab,Train Accident,69,20,Female,I feel completely drained after hearing this news. Nothing feels normal anymore.,Depressed,3
2024-06-17,Delhi,Heatwave,46,20,Female,I’m feeling uneasy and nervous since this incident.,Anxious,2
2024-08-25,Mumbai,Cyclone,99,53,Female,I can’t relax after hearing this. My mind is constantly racing.,Anxious,2
2024-09-19,Kolkata,Train Accident,112,44,Male,I can’t relax after hearing this. My mind is constantly racing.,Anxious,2
2024-09-09,Kerala,Building Fire,34,28,Male,This situation scares me a lot. I don’t feel safe anymore.,Anxious,2
2024-09-18,Assam,Building Fire,25,47,Female,This is unfortunate news. Hope things improve soon.,Neutral,0
2024-06-29,Delhi,Building Fire,51,39,Female,This is overwhelming. I don’t know how people are coping.,Stressed,1
2024-07-15,Himachal Pradesh,Industrial Accident,51,52,Female,Life feels very heavy after this happened. I don’t feel motivated at all.,Depressed,3
2024-09-21,Bengaluru,Train Accident,74,34,Male,I feel completely drained after hearing this news. Nothing feels normal anymore.,Depressed,3
2024-07-15,Punjab,Cyclone,55,50,Male,I feel numb reading about this. Everything feels pointless.,Depressed,3
2024-07-03,Delhi,Landslide,0,51,Male,"Sad incident, praying for everyone affected.",Neutral,0
2024-06-09,Himachal Pradesh,Cyclone,79,38,Male,This adds so much pressure to daily life.,Stressed,1
2024-08-25,Kerala,Cyclone,51,36,Male,My stress levels are very high after reading about this.,Stressed,1
2024-08-25,Kerala,Train Accident,78,54,Female,I’m feeling uneasy and nervous since this incident.,Anxious,2
2024-07-09,Bengaluru,Building Fire,55,55,Female,This is unfortunate news. Hope things improve soon.,Neutral,0
2024-07-27,Himachal Pradesh,Building Fire,65,48,Male,Hearing about this incident today. Very unfortunate.,Neutral,0
2024-08-05,Himachal Pradesh,Air Pollution,42,23,Male,Life feels very heavy after this happened. I don’t feel motivated at all.,Depressed,3
2024-09-12,Chennai,Train Accident,3,20,Male,This is overwhelming. I don’t know how people are coping.,Stressed,1
2024-07-29,Kerala,Air Pollution,24,42,Female,This is unfortunate news. Hope things improve soon.,Neutral,0
2024-06-19,Himachal Pradesh,Flood,114,24,Female,"Sad incident, praying for everyone affected.",Neutral,0
2024-09-11,Punjab,Industrial Accident,59,21,Male,I can’t relax after hearing this. My mind is constantly racing.,Anxious,2
2024-06-18,Assam,Industrial Accident,71,38,Female,I feel numb reading about this. Everything feels pointless.,Depressed,3
2024-09-23,Kolkata,Disease Outbreak,57,34,Male,Hearing about this incident today. Very unfortunate.,Neutral,0
2024-08-20,Chennai,Heatwave,56,22,Female,This adds so much pressure to daily life.,Stressed,1
2024-07-13,Hyderabad,Industrial Accident,10,26,Male,This situation scares me a lot. I don’t feel safe anymore.,Anxious,2
2024-08-28,Kolkata,Building Fire,8,44,Female,I’m feeling uneasy and nervous since this incident.,Anxious,2
2024-07-24,Delhi,Building Fire,106,44,Female,This adds so much pressure to daily life.,Stressed,1
2024-08-01,Delhi,Cyclone,38,42,Female,I feel numb reading about this. Everything feels pointless.,Depressed,3
2024-06-29,Bengaluru,Landslide,62,19,Female,I’m feeling uneasy and nervous since this incident.,Anxious,2
2024-09-01,Kolkata,Disease Outbreak,117,26,Male,This adds so much pressure to daily life.,Stressed,1
2024-06-11,Himachal Pradesh,Landslide,17,47,Male,This is unfortunate news. Hope things improve soon.,Neutral,0
2024-07-19,Hyderabad,Building Fire,58,38,Female,Life feels very heavy after this happened. I don’t feel motivated at all.,Depressed,3
2024-09-05,Kerala,Heatwave,106,23,Female,This was unexpected. Hope authorities handle it well.,Neutral,0
2024-07-15,Chennai,Road Accident,99,20,Male,I feel completely drained after hearing this news. Nothing feels normal anymore.,Depressed,3
2024-09-16,Delhi,Air Pollution,19,33,Male,I can’t relax after hearing this. My mind is constantly racing.,Anxious,2
2024-08-12,Chennai,Disease Outbreak,89,34,Female,This is unfortunate news. Hope things improve soon.,Neutral,0
2024-09-08,Kolkata,Heatwave,13,55,Male,This news is making me very anxious. I keep worrying about my family.,Anxious,2
2024-07-21,Punjab,Building Fire,9,55,Male,This adds so much pressure to daily life.,Stressed,1
2024-09-17,Himachal Pradesh,Air Pollution,103,25,Male,Life feels very heavy after this happened. I don’t feel motivated at all.,Depressed,3
2024-08-24,Hyderabad,Road Accident,64,39,Male,This adds so much pressure to daily life.,Stressed,1
2024-06-14,Kerala,Cyclone,81,47,Male,Hearing about this incident today. Very unfortunate.,Neutral,0
2024-09-02,Odisha,Heatwave,78,52,Female,"Sad incident, praying for everyone affected.",Neutral,0
2024-09-14,Punjab,Air Pollution,34,38,Male,Hearing about this incident today. Very unfortunate.,Neutral,0
2024-09-21,Assam,Building Fire,96,47,Female,Life feels very heavy after this happened. I don’t feel motivated at all.,Depressed,3
2024-08-03,Hyderabad,Train Accident,62,31,Female,So much stress after hearing this. Too many things going wrong.,Stressed,1
2024-07-06,Uttarakhand,Heatwave,71,18,Male,My stress levels are very high after reading about this.,Stressed,1
2024-09-01,Kerala,Disease Outbreak,71,33,Female,This incident just made my heart sink. I can’t stop overthinking.,Depressed,3
2024-09-10,Delhi,Road Accident,37,32,Female,Hearing about this incident today. Very unfortunate.,Neutral,0
2024-08-24,Uttarakhand,Cyclone,60,53,Female,This situation scares me a lot. I don’t feel safe anymore.,Anxious,2
2024-07-16,Punjab,Disease Outbreak,34,37,Female,This was unexpected. Hope authorities handle it well.,Neutral,0
2024-09-01,Chennai,Cyclone,15,52,Male,This news is making me very anxious. I keep worrying about my family.,Anxious,2
2024-09-03,Assam,Heatwave,92,55,Female,I can’t relax after hearing this. My mind is constantly racing.,Anxious,2
2024-07-08,Chennai,Cyclone,22,37,Male,This incident just made my heart sink. I can’t stop overthinking.,Depressed,3
2024-06-06,Delhi,Industrial Accident,37,26,Female,This situation scares me a lot. I don’t feel safe anymore.,Anxious,2
2024-08-13,Bengaluru,Disease Outbreak,61,46,Female,I feel completely drained after hearing this news. Nothing feels normal anymore.,Depressed,3
2024-07-03,Assam,Road Accident,105,22,Female,This news is making me very anxious. I keep worrying about my family.,Anxious,2
2024-08-13,Himachal Pradesh,Flood,19,27,Female,This is unfortunate news. Hope things improve soon.,Neutral,0
2024-06-16,Odisha,Landslide,77,32,Female,This incident just made my heart sink. I can’t stop overthinking.,Depressed,3
2024-07-09,Uttarakhand,Landslide,39,54,Male,Hearing about this incident today. Very unfortunate.,Neutral,0
2024-08-20,Chennai,Heatwave,84,23,Male,This incident just made my heart sink. I can’t stop overthinking.,Depressed,3
2024-08-10,Mumbai,Train Accident,0,44,Female,I can’t relax after hearing this. My mind is constantly racing.,Anxious,2
2024-06-05,Chennai,Heatwave,90,36,Female,This was unexpected. Hope authorities handle it well.,Neutral,0
2024-09-27,Bengaluru,Air Pollution,84,30,Female,This incident just made my heart sink. I can’t stop overthinking.,Depressed,3
2024-08-22,Kolkata,Heatwave,105,27,Male,This incident just made my heart sink. I can’t stop overthinking.,Depressed,3
2024-09-10,Bengaluru,Air Pollution,95,54,Female,This incident just made my heart sink. I can’t stop overthinking.,Depressed,3
2024-07-30,Punjab,Heatwave,89,43,Female,This is unfortunate news. Hope things improve soon.,Neutral,0
2024-06-11,Uttarakhand,Flood,113,45,Female,Hearing about this incident today. Very unfortunate.,Neutral,0
2024-06-12,Chennai,Air Pollution,75,19,Female,So much stress after hearing this. Too many things going wrong.,Stressed,1
2024-07-31,Odisha,Disease Outbreak,117,35,Male,This incident just made my heart sink. I can’t stop overthinking.,Depressed,3
2024-06-12,Assam,Cyclone,52,39,Female,Hearing about this incident today. Very unfortunate.,Neutral,0
2024-07-13,Kerala,Disease Outbreak,36,43,Male,This incident just made my heart sink. I can’t stop overthinking.,Depressed,3
2024-07-11,Bengaluru,Cyclone,14,43,Male,This is unfortunate news. Hope things improve soon.,Neutral,0
2024-06-07,Chennai,Industrial Accident,46,49,Female,Hearing about this incident today. Very unfortunate.,Neutral,0
2024-07-05,Odisha,Train Accident,118,36,Female,This incident just made my heart sink. I can’t stop overthinking.,Depressed,3
2024-06-04,Himachal Pradesh,Air Pollution,102,33,Male,This is unfortunate news. Hope things improve soon.,Neutral,0
2024-08-10,Kerala,Road Accident,28,25,Female,So much stress after hearing this. Too many things going wrong.,Stressed,1
2024-08-03,Punjab,Heatwave,65,35,Female,This incident just made my heart sink. I can’t stop overthinking.,Depressed,3
2024-07-02,Assam,Industrial Accident,18,42,Male,Hearing about this incident today. Very unfortunate.,Neutral,0
2024-07-06,Kerala,Cyclone,119,50,Female,This news is making me very anxious. I keep worrying about my family.,Anxious,2
2024-09-01,Bengaluru,Air Pollution,74,49,Male,Life feels very heavy after this happened. I don’t feel motivated at all.,Depressed,3
2024-07-15,Hyderabad,Industrial Accident,97,52,Female,Hearing about this incident today. Very unfortunate.,Neutral,0
2024-09-20,Chennai,Building Fire,73,42,Male,This was unexpected. Hope authorities handle it well.,Neutral,0
2024-07-11,Punjab,Disease Outbreak,90,42,Female,This is unfortunate news. Hope things improve soon.,Neutral,0
2024-06-05,Kolkata,Industrial Accident,75,39,Male,I’m feeling uneasy and nervous since this incident.,Anxious,2
2024-08-07,Assam,Flood,92,27,Female,This is unfortunate news. Hope things improve soon.,Neutral,0
2024-07-31,Bengaluru,Cyclone,79,43,Male,This news is making me very anxious. I keep worrying about my family.,Anxious,2
2024-07-11,Himachal Pradesh,Disease Outbreak,111,52,Male,This adds so much pressure to daily life.,Stressed,1
2024-08-20,Himachal Pradesh,Heatwave,29,23,Female,This incident just made my heart sink. I can’t stop overthinking.,Depressed,3
2024-07-27,Kolkata,Heatwave,115,19,Male,I feel completely drained after hearing this news. Nothing feels normal anymore.,Depressed,3
2024-07-08,Hyderabad,Cyclone,55,27,Male,So much stress after hearing this. Too many things going wrong.,Stressed,1
2024-06-22,Kolkata,Road Accident,78,42,Male,"Sad incident, praying for everyone affected.",Neutral,0
2024-06-30,Assam,Heatwave,58,34,Male,"Sad incident, praying for everyone affected.",Neutral,0
2024-08-26,Odisha,Train Accident,9,46,Female,This was unexpected. Hope authorities handle it well.,Neutral,0
2024-08-28,Bengaluru,Disease Outbreak,108,37,Male,This adds so much pressure to daily life.,Stressed,1
2024-06-14,Chennai,Landslide,73,40,Female,Hearing about this incident today. Very unfortunate.,Neutral,0
2024-09-15,Himachal Pradesh,Landslide,35,18,Male,So much stress after hearing this. Too many things going wrong.,Stressed,1
2024-09-08,Chennai,Air Pollution,102,40,Male,This was unexpected. Hope authorities handle it well.,Neutral,0
2024-08-26,Punjab,Train Accident,80,24,Male,This situation scares me a lot. I don’t feel safe anymore.,Anxious,2
2024-06-05,Uttarakhand,Cyclone,93,26,Male,This adds so much pressure to daily life.,Stressed,1
2024-09-04,Kerala,Train Accident,25,26,Female,My stress levels are very high after reading about this.,Stressed,1
2024-07-03,Assam,Heatwave,95,39,Male,This is overwhelming. I don’t know how people are coping.,Stressed,1
2024-06-19,Chennai,Landslide,108,53,Female,This is unfortunate news. Hope things improve soon.,Neutral,0
2024-06-02,Bengaluru,Industrial Accident,15,47,Female,I feel numb reading about this. Everything feels pointless.,Depressed,3
2024-09-14,Himachal Pradesh,Cyclone,13,32,Female,This adds so much pressure to daily life.,Stressed,1
2024-09-26,Uttarakhand,Building Fire,82,22,Female,Life feels very heavy after this happened. I don’t feel motivated at all.,Depressed,3
2024-06-15,Kolkata,Flood,4,37,Female,This adds so much pressure to daily life.,Stressed,1
2024-07-01,Odisha,Train Accident,49,47,Female,I feel completely drained after hearing this news. Nothing feels normal anymore.,Depressed,3
2024-09-22,Kerala,Road Accident,106,49,Female,"Sad incident, praying for everyone affected.",Neutral,0
2024-08-28,Hyderabad,Building Fire,56,46,Male,So much stress after hearing this. Too many things going wrong.,Stressed,1
2024-08-27,Hyderabad,Industrial Accident,115,40,Male,So much stress after hearing this. Too many things going wrong.,Stressed,1
2024-06-25,Mumbai,Disease Outbreak,11,31,Male,This was unexpected. Hope authorities handle it well.,Neutral,0
2024-07-02,Kolkata,Air Pollution,26,22,Male,Life feels very heavy after this happened. I don’t feel motivated at all.,Depressed,3
2024-07-13,Kolkata,Air Pollution,0,35,Male,I can’t relax after hearing this. My mind is constantly racing.,Anxious,2
2024-09-11,Kolkata,Road Accident,84,19,Male,This situation scares me a lot. I don’t feel safe anymore.,Anxious,2
2024-09-10,Chennai,Air Pollution,41,19,Male,Life feels very heavy after this happened. I don’t feel motivated at all.,Depressed,3
2024-06-17,Punjab,Landslide,67,25,Male,So much stress after hearing this. Too many things going wrong.,Stressed,1
2024-09-08,Hyderabad,Industrial Accident,75,24,Female,Hearing about this incident today. Very unfortunate.,Neutral,0
2024-09-02,Himachal Pradesh,Industrial Accident,38,47,Male,This news is making me very anxious. I keep worrying about my family.,Anxious,2
2024-09-17,Kerala,Landslide,87,24,Female,I feel numb reading about this. Everything feels pointless.,Depressed,3
2024-09-24,Mumbai,Cyclone,77,27,Male,This is unfortunate news. Hope things improve soon.,Neutral,0
2024-08-19,Himachal Pradesh,Air Pollution,70,38,Female,This situation scares me a lot. I don’t feel safe anymore.,Anxious,2
2024-08-04,Uttarakhand,Landslide,12,25,Male,This adds so much pressure to daily life.,Stressed,1
2024-09-22,Chennai,Landslide,43,47,Female,Hearing about this incident today. Very unfortunate.,Neutral,0
2024-07-11,Kerala,Cyclone,85,34,Female,This is unfortunate news. Hope things improve soon.,Neutral,0
2024-06-09,Mumbai,Road Accident,11,45,Male,I’m feeling uneasy and nervous since this incident.,Anxious,2
2024-08-11,Delhi,Air Pollution,71,53,Female,This is overwhelming. I don’t know how people are coping.,Stressed,1
2024-07-16,Himachal Pradesh,Landslide,111,21,Female,I feel numb reading about this. Everything feels pointless.,Depressed,3
2024-06-14,Uttarakhand,Industrial Accident,27,27,Female,My stress levels are very high after reading about this.,Stressed,1
2024-07-15,Odisha,Cyclone,14,35,Male,This news is making me very anxious. I keep worrying about my family.,Anxious,2
2024-08-17,Himachal Pradesh,Heatwave,3,29,Female,This is unfortunate news. Hope things improve soon.,Neutral,0
2024-07-15,Delhi,Train Accident,111,27,Female,My stress levels are very high after reading about this.,Stressed,1
2024-09-03,Himachal Pradesh,Flood,11,51,Male,This incident just made my heart sink. I can’t stop overthinking.,Depressed,3
2024-07-29,Hyderabad,Train Accident,47,37,Female,Hearing about this incident today. Very unfortunate.,Neutral,0
2024-06-20,Kolkata,Air Pollution,6,23,Female,I feel completely drained after hearing this news. Nothing feels normal anymore.,Depressed,3
2024-08-02,Uttarakhand,Disease Outbreak,53,35,Male,Hearing about this incident today. Very unfortunate.,Neutral,0
2024-07-26,Mumbai,Heatwave,86,55,Female,Life feels very heavy after this happened. I don’t feel motivated at all.,Depressed,3
2024-06-29,Kerala,Air Pollution,7,18,Male,So much stress after hearing this. Too many things going wrong.,Stressed,1
2024-09-07,Kolkata,Heatwave,37,38,Male,This is overwhelming. I don’t know how people are coping.,Stressed,1
2024-09-04,Kerala,Train Accident,16,42,Male,I feel numb reading about this. Everything feels pointless.,Depressed,3
2024-07-21,Punjab,Flood,55,19,Female,So much stress after hearing this. Too many things going wrong.,Stressed,1
2024-08-13,Kerala,Air Pollution,51,44,Female,Life feels very heavy after this happened. I don’t feel motivated at all.,Depressed,3
2024-06-03,Hyderabad,Train Accident,102,47,Female,I feel numb reading about this. Everything feels pointless.,Depressed,3
2024-09-17,Mumbai,Building Fire,55,55,Female,I feel numb reading about this. Everything feels pointless.,Depressed,3
2024-09-20,Bengaluru,Cyclone,28,39,Male,I feel numb reading about this. Everything feels pointless.,Depressed,3
2024-08-07,Odisha,Building Fire,115,40,Female,I feel completely drained after hearing this news. Nothing feels normal anymore.,Depressed,3
2024-06-14,Kolkata,Heatwave,25,29,Male,I can’t relax after hearing this. My mind is constantly racing.,Anxious,2
2024-09-07,Himachal Pradesh,Disease Outbreak,59,54,Female,This incident just made my heart sink. I can’t stop overthinking.,Depressed,3
2024-06-20,Assam,Road Accident,60,46,Female,My stress levels are very high after reading about this.,Stressed,1
2024-07-16,Odisha,Road Accident,39,47,Female,So much stress after hearing this. Too many things going wrong.,Stressed,1
2024-07-18,Bengaluru,Road Accident,82,23,Female,I feel completely drained after hearing this news. Nothing feels normal anymore.,Depressed,3
2024-07-28,Uttarakhand,Building Fire,41,48,Male,This is unfortunate news. Hope things improve soon.,Neutral,0
2024-06-14,Hyderabad,Road Accident,64,29,Male,I feel numb reading about this. Everything feels pointless.,Depressed,3
2024-07-27,Odisha,Industrial Accident,78,28,Female,I’m feeling uneasy and nervous since this incident.,Anxious,2
2024-07-20,Kerala,Cyclone,86,21,Female,My stress levels are very high after reading about this.,Stressed,1
